ID	GLOSS	FREQUENCY
1714	NINETEEN	295
45	EVIL	295
2260	FEMALE (OF PERSON)	295
2130	HEADGEAR	294
139	GUMS	294
745	SHELF	294
3889	CUT OR HACK	294
1915	FIR	293
3223	BRANCH OR TWIG	293
51	SORE	293
805	SPINE	292
1821	BRUSH	292
2406	HOME	292
2261	MALE (OF PERSON)	292
129	CHOKE	292
82	ANGER	292
570	STAND UP	291
1006	BRICK	291
2146	ROAST OR FRY	291
1014	OR	291
1833	DINNER (SUPPER)	290
1683	BUSH	290
347	SORGHUM	290
964	WOOL	290
1065	SPIDER WEB	290
1125	BALD	290
162	HICCOUGH	290
1093	MIDDLE	289
851	STABLE	289
2493	BOIL	289
1992	MORE	289
1910	STINGRAY	289
696	STIR	289
55	WHISPER	289
3448	SIEVE OR STRAIN	289
255	SERVANT	289
920	GRAPE	288
1979	CHISEL	288
1779	DARE	288
1981	WIDOWER	288
549	COPULATE	287
2414	OLDER BROTHER (OF MAN)	287
1330	DEFEND	287
952	WEATHER	286
734	MAKE	285
1896	FINGERNAIL OR TOENAIL	284
40	ENVY	284
3199	TWIST (AROUND)	284
850	SQUARE	284
1699	SUNDAY	284
1041	INCREASE	283
1527	TICK	283
2348	CRAB	283
2416	YOUNGER BROTHER (OF MAN)	283
649	PASTURE	283
1903	SWELLING	283
1521	SEEM	283
846	TIGER	282
270	JUG	282
278	AWL	282
710	WHEEL	282
296	CROUCH	282
17	EYELID	282
800	THIGH	282
2415	OLDER BROTHER (OF WOMAN)	282
3210	KNIFE (FOR EATING)	282
366	LIMP	281
910	DEATH	281
1520	CRUSH	281
2921	THEN	281
1794	FURROW	280
1191	COOKED RICE	279
890	MULE	279
884	SHARE	279
2131	TORCH OR LAMP	279
2013	BAIT	279
1281	PRISON	279
201	FARM	279
447	LOWER LEG	278
73	BEAK	278
698	WISE	278
1332	NEIGHBOUR	278
1348	BOAR (MALE PIG)	277
2267	SON-IN-LAW (OF MAN)	277
1697	MONDAY	277
1700	SATURDAY	277
525	BLOOD VESSEL	276
1778	APPROACH	276
1998	COMMAND	276
1373	TEA	275
2254	FATHER-IN-LAW (OF WOMAN)	275
1851	POCKET	275
279	THATCH	275
582	LEND	275
1302	FORK	275
1693	THURSDAY	275
1692	FRIDAY	275
24	PRAY	275
2256	MOTHER-IN-LAW (OF WOMAN)	274
1902	BETRAY	274
1695	TUESDAY	274
1694	WEDNESDAY	274
25	DIRT	274
1260	DAY (24 HOURS)	273
991	FRY	273
1351	SOW (FEMALE PIG)	273
1716	FORTY	273
3189	STAB TO DEATH	273
48	BE SILENT	273
1846	RULE	273
236	STEPMOTHER	272
2693	MATERNAL AUNT (MOTHER'S SISTER)	272
989	CLEAR	272
497	SCAR	272
2136	BRASS INSTRUMENT (HORN OR TRUMPET)	272
465	CARRY ON BACK	271
3151	CUT (WITH AXE)	271
235	FLYING FOX	271
3184	BE ALIVE OR LIFE	271
979	FARMER	271
3450	HOW MANY PIECES	271
8	CURSE	271
53	SPIRIT	270
56	BAD LUCK	270
2034	FROST	269
931	MILLET	269
603	COAT	269
2265	DAUGHTER-IN-LAW (OF MAN)	269
3188	MIGHTY OR POWERFUL OR STRONG	269
2121	ARM OR HAND	268
2093	AFTERWARDS	267
2421	YOUNGER SISTER (OF WOMAN)	267
1721	SEVENTY	267
1722	EIGHTY	267
1561	ARMY	267
3918	CALABASH	267
362	STRING	266
895	TORTOISE	266
618	PRECIPICE	266
1643	COUSIN	266
2262	FEMALE (OF ANIMAL)	266
3183	BREATH OR BREATHE	266
290	ADZE	266
585	BOOT	265
